,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,date_range,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
87,19.3,17.11351826024925,82827.91591527677,-6.3,130,1987-01-04 15:00:00,4,15,0.47101449275362317,0.5783936361303567,Sunset,87,0.5991189427312775,14.913214846984486,74.73890521753091,15.261094782469087,80,79.9987733255217,7,3,4.9969028366955754
88,15.4,22.818024346999,82827.91591527677,-5.7,37,1987-01-04 16:00:00,4,16,0.5522388059701493,0.5783936361303567,Neither,88,0.23550724637681159,15.913214846984486,83.0971518146553,6.902848185344695,21,0.0,4,1,4.420337124769162
89,13.2,27.3816292163988,82927.91591527677,-5.2,0,1987-01-04 17:00:00,4,17,0.0,0.5783936361303567,Neither,89,0.27611940298507465,16.913214846984488,92.7489466473205,-2.748946647320494,0,,3,0,4.9969028366955754
90,12.0,28.52253043374875,82927.91591527677,-5.7,0,1987-01-04 18:00:00,4,18,0.0,0.5783936361303567,Neither,90,0.0,17.913214846984488,103.28326177249944,-13.283261772499444,0,,2,0,4.420337124769162
91,10.9,28.52253043374875,82927.91591527677,-6.6,0,1987-01-04 19:00:00,4,19,0.0,0.5783936361303567,Neither,91,0.0,18.913214846984488,114.38372707036095,-24.383727070360948,0,,1,0,3.459394271558475
92,10.4,29.663431651098698,82927.91591527677,-6.6,0,1987-01-04 20:00:00,4,20,0.0,0.5783936361303567,Neither,92,0.0,19.913214846984488,125.78382383614006,-35.78382383614006,0,,0,0,2.9789228449531313
93,7.6,39.93154260724825,82927.91591527677,-5.1,0,1987-01-04 21:00:00,4,21,0.0,0.5783936361303567,Neither,93,0.0,20.913214846984488,137.1978458766671,-47.19784587666709,0,,1,0,2.9789228449531313
94,8.2,36.5088389551984,82927.91591527677,-5.8,0,1987-01-04 22:00:00,4,22,0.0,0.5783936361303567,Neither,94,0.0,21.913214846984488,148.1706434406942,-58.17064344069419,0,,1,0,2.0179799917424437
95,3.2,57.0450608674975,82927.91591527677,-4.5,0,1987-01-04 23:00:00,4,23,0.0,0.5783936361303567,Neither,95,0.0,22.913214846984488,157.60572761754923,-67.60572761754923,0,,4,1,2.0179799917424437
96,2.0,67.31317182364705,82827.91591527677,-3.4,0,1987-01-05 00:00:00,5,0,0.0,0.5759509828950727,Neither,96,0.0,-0.0939995497921434,162.45457708230504,-72.45457708230504,0,,4,1,2.0179799917424437
