,0,1,2,3,4,5,6,7,8,9,10,11,12,vintage,cz,scen_year,scenario,year,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_1_10_5,0.0,0.07,56.53,0.0,0.0,3214.5,7079.24,458.53,8.45,0.0,0.0,2820.2,0.01,new,2a,ssp585,2050,RefBldgMidriseApartment,0.0,13520.08,123613.61,23921.22,70455.96,343634.1,528562.16,25.84,129309.57,242916.43,100717.67,28591.9,29.31,77.89,191721.55,139347.56,52373.99
2_1_11_4,0.0,19.06,7.24,0.0,2.5,170.17,4192.56,54.94,0.0,0.0,0.0,52.02,1.53,new,2a,ssp585,2065,RefBldgMediumOffice,25835.14,259.38,340780.67,27457.99,7674.17,923488.26,1102001.68,29.04,286974.31,660773.25,262715.01,24259.3,28.45,91.55,481383.58,345033.55,136350.02
2_1_11_5,0.0,0.03,241.94,0.0,0.0,3684.0,6567.71,851.69,126.82,0.0,0.0,4609.52,0.01,new,2a,ssp585,2065,RefBldgMidriseApartment,0.0,10388.73,138953.76,26177.09,67324.61,361230.12,531642.22,27.0,129664.38,257769.1,103461.02,26203.36,28.64,79.79,200304.65,146512.77,53791.88
2_1_12_4,0.0,11.69,15.83,0.0,1.83,408.83,4170.64,76.86,0.0,0.0,0.0,235.9,1.12,new,2a,ssp585,2080,RefBldgMediumOffice,22115.37,131.66,390812.8,33429.84,7546.45,975772.47,1105223.73,30.27,286435.02,711449.02,264323.45,22111.56,27.09,92.28,508664.57,371484.66,137179.91
2_1_12_5,0.0,0.0,716.87,0.0,0.0,4183.67,5990.2,992.4,540.11,23.52,0.0,7348.52,0.01,new,2a,ssp585,2080,RefBldgMidriseApartment,0.0,7772.41,154294.82,28332.21,64708.29,378726.3,533255.49,28.23,129509.91,272893.24,105833.06,23676.85,27.94,81.72,208939.05,153921.93,55017.12
2_2_0_4,0.0,80.22,1.71,0.0,5.33,38.5,4238.44,9.06,0.0,0.0,0.0,9.9,2.26,new,2b,historical,2020,RefBldgMediumOffice,38671.05,116.34,216960.63,26994.25,6897.75,812023.12,1319378.03,28.51,343576.75,510127.85,301895.27,41681.48,37.18,87.87,353233.64,228309.33,124924.31
2_2_0_5,0.0,3.22,0.0,0.0,0.0,834.67,7546.22,0.0,0.0,0.0,0.0,139.25,0.02,new,2b,historical,2020,RefBldgMidriseApartment,0.0,14462.53,92653.03,18364.49,64637.83,307110.53,613712.1,25.99,152270.22,201166.96,105943.57,46326.64,34.5,69.58,146392.8,102426.77,43966.04
2_2_1_4,0.0,50.34,3.69,0.0,3.0,70.33,4236.73,10.77,0.0,0.0,0.0,13.2,1.37,new,2b,ssp126,2035,RefBldgMediumOffice,30947.23,27.97,269121.3,29331.72,6810.48,858797.44,1304921.44,30.72,336012.74,557048.74,301748.7,34264.04,35.14,89.8,373242.45,248461.59,124780.86
2_2_1_5,0.0,0.8,0.03,0.0,0.0,1600.0,7544.94,1.28,0.0,0.0,0.0,506.02,0.01,new,2b,ssp126,2035,RefBldgMidriseApartment,0.0,9275.35,117932.42,21576.68,59450.65,335602.12,606157.99,28.22,148480.63,223558.12,112044.0,36436.63,33.39,75.46,158030.97,111593.9,46437.07
2_2_2_4,0.0,46.47,4.28,0.0,2.67,71.33,4235.56,11.94,0.0,0.0,0.0,13.9,1.25,new,2b,ssp126,2050,RefBldgMediumOffice,29876.86,20.0,276893.33,29654.57,6802.51,865821.95,1302783.64,31.04,334923.45,564301.47,301520.48,33402.97,34.82,90.03,376272.29,251620.34,124651.96
2_2_2_5,0.0,0.57,0.13,0.0,0.0,1709.83,7542.48,3.74,0.0,0.0,0.0,585.89,0.01,new,2b,ssp126,2050,RefBldgMidriseApartment,0.0,8587.62,121563.96,22043.36,58762.92,339700.34,604923.73,28.55,147912.12,227138.23,112562.12,35350.01,33.14,76.1,159730.05,113100.25,46629.8
2_2_3_4,0.0,44.95,4.19,0.0,2.67,66.33,4235.35,12.15,0.0,0.0,0.0,13.29,1.19,new,2b,ssp126,2065,RefBldgMediumOffice,29338.35,15.66,278904.45,29725.92,6798.17,867365.91,1301052.29,31.14,334282.58,565935.37,301430.54,32852.04,34.75,90.17,376853.66,252232.85,124620.81
2_2_3_5,0.0,0.52,0.13,0.0,0.0,1731.17,7542.6,3.62,0.0,0.0,0.0,593.23,0.01,new,2b,ssp126,2065,RefBldgMidriseApartment,0.0,8264.32,122599.46,22184.56,58439.62,340877.05,604056.19,28.65,147594.67,227975.03,112902.02,34692.66,33.12,76.49,160156.46,113393.94,46762.52
2_2_4_4,0.0,44.57,3.94,0.0,2.67,59.67,4235.7,11.8,0.0,0.0,0.0,12.74,1.16,new,2b,ssp126,2080,RefBldgMediumOffice,29125.19,12.84,278393.04,29690.19,6795.35,866605.62,1298368.6,31.15,333658.5,565571.57,301034.05,32624.45,34.74,90.22,376479.8,252027.93,124451.87
2_2_4_5,0.0,0.47,0.07,0.0,0.0,1718.17,7543.8,2.43,0.0,0.0,0.0,564.62,0.01,new,2b,ssp126,2080,RefBldgMidriseApartment,0.0,8084.62,122366.51,22149.42,58259.92,340608.95,602764.1,28.67,147239.98,227764.72,112844.24,34395.74,33.13,76.64,159977.96,113246.81,46731.14
2_2_5_4,0.0,48.9,3.27,0.0,3.5,54.67,4235.6,11.9,0.0,0.0,0.0,11.95,1.47,new,2b,ssp245,2035,RefBldgMediumOffice,31449.94,40.6,266224.99,29086.07,6823.11,856158.21,1311134.1,30.57,338042.87,553307.76,302850.44,35192.42,35.37,89.59,372285.91,247021.87,125264.04
2_2_5_5,0.0,0.71,0.0,0.0,0.0,1609.67,7544.52,1.7,0.0,0.0,0.0,505.95,0.01,new,2b,ssp245,2035,RefBldgMidriseApartment,0.0,9717.24,117415.01,21624.82,59892.54,335132.85,609282.62,28.07,149560.76,222995.83,112137.02,37423.75,33.46,74.98,158014.48,111517.93,46496.55
2_2_6_4,0.0,43.01,4.15,0.0,2.83,72.17,4234.21,13.29,0.0,0.0,0.0,13.61,1.28,new,2b,ssp245,2050,RefBldgMediumOffice,29516.7,25.92,281011.78,29731.95,6808.42,869657.62,1307450.95,31.12,336235.57,566806.42,302851.19,33384.37,34.82,90.07,378123.81,252872.28,125251.53
2_2_6_5,0.0,0.5,0.06,0.0,0.0,1858.17,7538.43,7.8,0.0,0.0,0.0,685.54,0.01,new,2b,ssp245,2050,RefBldgMidriseApartment,0.0,8602.06,124490.82,22553.29,58777.36,343137.13,607449.85,28.63,148674.34,229547.69,113589.44,35084.9,33.1,76.4,161398.06,114315.88,47082.18
2_2_7_4,0.0,38.39,4.94,0.0,2.67,84.83,4232.57,14.93,0.0,0.0,0.0,15.35,1.19,new,2b,ssp245,2065,RefBldgMediumOffice,28294.67,20.44,293331.38,30290.27,6802.95,881313.52,1302611.35,31.58,334278.59,578886.89,302426.63,31851.96,34.32,90.47,383135.85,258083.08,125052.78
2_2_7_5,0.0,0.39,0.17,0.0,0.0,2029.17,7529.34,16.88,0.0,0.0,0.0,841.74,0.01,new,2b,ssp245,2065,RefBldgMidriseApartment,0.0,8012.08,130390.15,23321.85,58187.38,349805.02,604989.67,29.09,147655.97,235171.94,114633.08,33022.88,32.77,77.64,164253.14,116759.68,47493.46
2_2_8_4,0.0,34.96,5.66,0.0,2.67,97.5,4231.44,16.06,0.0,0.0,0.0,17.83,1.11,new,2b,ssp245,2080,RefBldgMediumOffice,27280.9,15.31,302950.83,30737.38,6797.82,890366.31,1301762.2,31.95,333514.96,587830.03,302536.28,30978.69,33.98,90.71,387069.84,261979.89,125089.95
2_2_8_5,0.0,0.32,0.31,0.0,0.0,2163.5,7519.23,26.99,0.0,0.0,0.0,980.24,0.01,new,2b,ssp245,2080,RefBldgMidriseApartment,0.0,7428.14,135083.58,23932.8,57603.44,355109.4,604467.79,29.46,147270.74,239647.31,115462.09,31808.64,32.51,78.4,166526.27,118699.22,47827.04
2_2_9_4,0.0,47.05,4.13,0.0,3.0,71.5,4235.2,12.3,0.0,0.0,0.0,13.46,1.41,new,2b,ssp585,2035,RefBldgMediumOffice,30562.38,44.13,273056.56,29435.85,6826.64,862451.98,1309782.93,30.83,337262.91,559353.79,303098.19,34164.72,35.14,89.87,374967.51,249571.25,125396.25
2_2_9_5,0.0,0.71,0.06,0.0,0.0,1717.5,7542.42,3.8,0.0,0.0,0.0,569.15,0.01,new,2b,ssp585,2035,RefBldgMidriseApartment,0.0,9285.45,120746.95,22066.39,59460.75,338906.36,608618.9,28.33,149162.07,225859.37,113046.99,36115.08,33.36,75.79,159596.36,112715.97,46880.39
