,0,1,2,3,4,5,6,7,8,9,10,11,12,vintage,cz,scen_year,scenario,year
2_1_8_4,0.0,27.72,4.85,0.0,2.83,79.17,4196.0,51.5,0.0,0.0,0.0,17.51,2.0,new,2a,historical,2020,RefBldgMediumOffice
2_1_8_5,0.0,0.05,42.42,0.0,0.0,3240.83,7062.6,482.65,0.98,0.0,0.0,2801.11,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_9_4,0.0,39.84,2.81,0.0,3.83,60.83,4202.19,45.31,0.0,0.0,0.0,14.37,2.54,new,2a,historical,2020,RefBldgMediumOffice
2_1_9_5,0.0,0.25,8.49,0.0,0.0,2704.5,7423.18,123.04,0.0,0.0,0.0,1512.66,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_10_4,0.0,28.22,4.46,0.0,3.0,95.83,4197.05,50.45,0.0,0.0,0.0,21.06,2.05,new,2a,historical,2020,RefBldgMediumOffice
2_1_10_5,0.0,0.07,56.53,0.0,0.0,3214.5,7079.24,458.53,8.45,0.0,0.0,2820.2,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_11_4,0.0,19.06,7.24,0.0,2.5,170.17,4192.56,54.94,0.0,0.0,0.0,52.02,1.53,new,2a,historical,2020,RefBldgMediumOffice
2_1_11_5,0.0,0.03,241.94,0.0,0.0,3684.0,6567.71,851.69,126.82,0.0,0.0,4609.52,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_1_12_4,0.0,11.69,15.83,0.0,1.83,408.83,4170.64,76.86,0.0,0.0,0.0,235.9,1.12,new,2a,historical,2020,RefBldgMediumOffice
2_1_12_5,0.0,0.0,716.87,0.0,0.0,4183.67,5990.2,992.4,540.11,23.52,0.0,7348.52,0.01,new,2a,historical,2020,RefBldgMidriseApartment
2_2_0_4,0.0,80.22,1.71,0.0,5.33,38.5,4238.44,9.06,0.0,0.0,0.0,9.9,2.26,new,2b,historical,2020,RefBldgMediumOffice
2_2_0_5,0.0,3.22,0.0,0.0,0.0,834.67,7546.22,0.0,0.0,0.0,0.0,139.25,0.02,new,2b,historical,2020,RefBldgMidriseApartment
2_2_1_4,0.0,50.34,3.69,0.0,3.0,70.33,4236.73,10.77,0.0,0.0,0.0,13.2,1.37,new,2b,historical,2020,RefBldgMediumOffice
2_2_1_5,0.0,0.8,0.03,0.0,0.0,1600.0,7544.94,1.28,0.0,0.0,0.0,506.02,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_2_4,0.0,46.47,4.28,0.0,2.67,71.33,4235.56,11.94,0.0,0.0,0.0,13.9,1.25,new,2b,historical,2020,RefBldgMediumOffice
2_2_2_5,0.0,0.57,0.13,0.0,0.0,1709.83,7542.48,3.74,0.0,0.0,0.0,585.89,0.01,new,2b,historical,2020,RefBldgMidriseApartment
2_2_3_4,0.0,44.95,4.19,0.0,2.67,66.33,4235.35,12.15,0.0,0.0,0.0,13.29,1.19,new,2b,historical,2020,RefBldgMediumOffice
2_2_3_5,0.0,0.52,0.13,0.0,0.0,1731.17,7542.6,3.62,0.0,0.0,0.0,593.23,0.01,new,2b,historical,2020,RefBldgMidriseApartment
