,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
31,-10.7,100.0,96992.4704483596,-10.7,0,2,7,0.0,0.6291512915129152,Neither,31,0.21634615384615385,6.79609078871328,98.92131400168475,-8.921314001684749,0,-0.0,0,0,4.899808748914945
32,-10.9,100.0,97092.4704483596,-10.9,45,2,8,0.4326923076923077,0.6291512915129152,Neither,32,0.29014598540145986,7.79609078871328,89.98937829889945,0.010621701100546943,32,0.0,0,0,5.308126144657858
33,-9.6,98.73346246277364,97092.4704483596,-9.8,159,2,9,0.5802919708029197,0.6291512915129152,Neither,33,0.5375961538461538,8.79609078871328,82.17717405032474,7.822825949675263,68,668.5755911317441,0,0,5.103967446786402
34,-8.5,93.79678933963496,97092.4704483596,-9.3,257,2,10,0.6425,0.6291512915129152,Neither,34,0.6270103921811209,9.79609078871328,75.91030651502801,14.089693484971988,81,722.9691348209,0,0,4.899808748914945
35,-7.2,90.09428449728095,97192.4704483596,-8.5,318,2,11,0.673728813559322,0.6291512915129152,Neither,35,0.6614561855670102,10.79609078871328,71.64721989586525,18.35278010413475,86,736.819223580944,0,0,4.695650051043489
36,-6.1,85.15761137414226,97192.4704483596,-8.2,330,2,12,0.6804123711340206,0.6291512915129152,Neither,36,0.6656315300673322,11.79609078871328,69.78614505925222,20.21385494074778,86,706.1715019806115,0,0,4.695650051043489
37,-4.9,81.45510653178826,97192.4704483596,-7.6,288,2,13,0.6575342465753424,0.6291512915129152,Neither,37,0.6426013951478486,12.79609078871328,70.52912952207832,19.47087047792168,85,609.010527128113,0,0,4.695650051043489
38,-3.8,76.51843340864957,97192.4704483596,-7.3,202,2,14,0.6047904191616766,0.6291512915129152,Sunset,38,0.6575342465753424,13.79609078871328,73.7931612036494,16.206838796350596,73,462.1904489848113,0,0,4.695650051043489
39,-5.1,82.68927481257293,97192.4704483596,-7.6,90,2,15,0.4972375690607735,0.6291512915129152,Neither,39,0.666031573217202,14.79609078871328,79.24827258041793,10.751727419582068,47,230.49668887321158,0,0,4.1852533063648485
40,-6.4,88.86011621649628,97292.4704483596,-7.9,16,2,16,0.7272727272727273,0.6291512915129152,Neither,40,0.24861878453038674,15.79609078871328,86.44673385334362,3.5532661466563837,4,193.6219364591251,0,0,3.674856561686209
41,-7.7,95.03095762041963,97292.4704483596,-8.4,0,2,17,0.0,0.6291512915129152,Neither,41,0.36363636363636365,16.79609078871328,94.9415413938851,-4.941541393885103,0,-0.0,0,0,3.164459817007569
42,-9.0,97.49929418198897,97392.4704483596,-9.3,0,2,18,0.0,0.6291512915129152,Neither,42,0.0,17.79609078871328,104.34165818079283,-14.341658180792834,0,-0.0,3,3,3.674856561686209
43,-10.2,99.96763074355832,97392.4704483596,-10.2,0,2,19,0.0,0.6291512915129152,Neither,43,0.0,18.79609078871328,114.31229811882929,-24.31229811882929,0,-0.0,7,7,4.1852533063648485
44,-11.5,100.0,97392.4704483596,-11.5,0,2,20,0.0,0.6291512915129152,Neither,44,0.0,19.79609078871328,124.54031728751029,-34.54031728751029,0,-0.0,10,10,4.695650051043489
45,-11.5,96.2651259012043,97392.4704483596,-12.0,0,2,21,0.0,0.6291512915129152,Neither,45,0.0,20.79609078871328,134.66442403840705,-44.66442403840705,0,-0.0,10,10,4.389412004236305
46,-11.5,91.32845277806562,97392.4704483596,-12.6,0,2,22,0.0,0.6291512915129152,Neither,46,0.0,21.79609078871328,144.12993907838435,-54.12993907838435,0,-0.0,10,10,3.981094608493393
47,-11.5,85.15761137414226,97392.4704483596,-13.5,0,2,23,0.0,0.6291512915129152,Neither,47,0.0,22.79609078871328,151.86657345261364,-61.866573452613636,0,-0.0,10,10,3.674856561686209
48,-11.3,87.62594793571161,97492.4704483596,-12.9,0,3,0,0.0,0.3855465884079237,Neither,48,0.0,-0.2112861158219971,155.8658648693646,-65.8658648693646,0,-0.0,10,10,3.368618514879025
