,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_1_4_4,26424.9,504.17,21129.8,3963.3,2602.26,181890.99,128762.81,15.98,34335.11,151173.77,30717.23,3617.89,16.89,89.46,94967.07,79109.35,15857.72
2_1_4_5,0.0,13932.04,3055.54,1385.16,31225.11,53534.62,66488.84,15.08,13854.62,43323.68,10210.93,3643.69,19.07,73.7,33410.67,28149.51,5261.17
2_1_5_4,27849.05,724.04,20510.09,3990.13,2822.13,182722.26,128915.16,15.56,34422.62,151923.54,30798.72,3623.9,16.86,89.47,95447.72,79547.81,15899.92
2_1_5_5,0.0,15673.62,2950.07,1433.65,32966.69,53477.64,66526.65,14.66,13879.54,43270.3,10207.35,3672.2,19.09,73.54,33695.32,28435.86,5259.47
2_1_6_4,25972.83,533.42,21702.65,3975.13,2631.51,182023.6,128828.5,16.1,34330.74,151272.55,30751.05,3579.68,16.89,89.57,95029.47,79154.05,15875.42
2_1_6_5,0.0,13832.89,3320.06,1432.84,31125.96,53846.82,66504.72,15.2,13843.96,43573.83,10272.99,3570.97,19.08,74.21,33551.43,28258.17,5293.25
2_1_7_4,25176.34,463.85,22445.26,3972.55,2561.94,181967.14,128643.81,16.4,34227.7,151293.27,30673.87,3553.83,16.86,89.62,94983.35,79148.71,15834.64
2_1_7_5,0.0,13032.42,3540.94,1444.45,30325.49,54079.32,66394.18,15.5,13792.58,43786.32,10293.0,3499.58,19.03,74.63,33526.18,28222.94,5303.24
2_1_8_4,24264.84,409.55,23214.79,3969.4,2507.64,181822.02,128577.28,16.69,34178.55,151181.84,30640.18,3538.37,16.85,89.65,94890.91,79073.41,15817.5
2_1_8_5,0.0,12220.7,3770.86,1458.31,29513.77,54323.09,66322.95,15.79,13759.62,44011.38,10311.71,3447.91,18.98,74.94,33502.76,28189.84,5312.92
2_1_9_4,27268.43,665.24,21078.57,3984.09,2763.33,182704.08,128941.01,15.78,34409.23,151906.28,30797.8,3611.43,16.86,89.5,95418.12,79516.82,15901.3
2_1_9_5,0.0,15112.0,3108.34,1441.8,32405.07,53644.06,66553.54,14.87,13878.12,43410.67,10233.38,3644.74,19.08,73.74,33677.11,28403.8,5273.31
2_1_10_4,23992.15,435.42,23775.17,3984.31,2533.51,182124.62,128702.01,16.77,34200.88,151433.13,30691.5,3509.39,16.85,89.74,95035.26,79189.08,15846.18
2_1_10_5,0.0,12181.45,4033.69,1506.91,29474.52,54634.52,66433.09,15.87,13785.78,44253.57,10380.95,3404.83,19.0,75.3,33651.16,28301.96,5349.19
2_1_11_4,21132.96,258.18,26295.38,3986.7,2356.27,181788.04,128566.25,17.68,34061.58,151171.24,30616.79,3444.78,16.84,89.89,94793.07,78985.7,15807.37
2_1_11_5,0.0,9641.55,4929.53,1582.72,26934.62,55606.17,66334.48,16.78,13719.41,45109.03,10497.14,3222.27,18.88,76.51,33683.5,28275.12,5408.38
2_1_12_4,18355.81,131.66,29157.67,4000.35,2229.75,181886.81,128935.99,18.68,34071.25,151191.08,30695.73,3375.52,16.88,90.09,94785.28,78938.88,15846.4
2_1_12_5,0.0,7308.87,5985.06,1698.6,24601.94,56777.58,66561.29,17.77,13748.48,46081.2,10696.38,3052.1,18.84,77.8,33858.94,28348.39,5510.55
2_2_0_4,28618.79,113.48,10024.24,4279.72,2173.59,173581.94,124994.86,15.2,33553.83,143320.51,30261.44,3292.39,17.43,90.19,79503.93,65774.05,13729.88
2_2_0_5,0.0,12754.72,2423.48,1488.77,29640.82,53109.74,61903.55,14.29,12159.91,43188.43,9921.31,2238.6,18.68,81.59,29760.46,25262.28,4498.18
2_2_1_4,23750.18,27.97,13978.44,4340.75,2089.16,172728.57,121974.7,16.87,32346.92,143286.55,29442.02,2904.89,17.05,91.02,79115.52,65759.94,13355.58
2_2_1_5,0.0,8427.29,3512.52,1455.06,25313.39,54165.08,60216.32,15.97,11573.98,44518.48,9646.6,1927.38,17.81,83.35,29466.42,25093.57,4372.85
2_2_2_4,22962.48,20.0,14896.78,4350.65,2081.19,172869.11,121307.79,17.22,32062.26,143626.28,29242.83,2819.43,16.92,91.21,79178.32,65912.31,13266.01
2_2_2_5,0.0,7782.78,3749.43,1463.37,24668.89,54410.29,59822.35,16.33,11440.57,44847.19,9563.1,1877.47,17.58,83.59,29462.28,25127.19,4335.09
2_2_3_4,22563.07,15.66,15268.84,4359.68,2076.85,172850.79,121127.37,17.36,31968.04,143665.19,29185.6,2782.44,16.88,91.3,79161.36,65918.26,13243.1
2_2_3_5,0.0,7523.82,3906.77,1479.19,24409.92,54583.45,59711.87,16.47,11405.68,45012.27,9571.17,1834.51,17.53,83.92,29498.8,25158.0,4340.81
2_2_4_4,22409.02,12.84,15400.14,4368.15,2074.03,172836.51,121525.63,17.41,32091.33,143530.12,29306.39,2784.93,16.96,91.32,79156.72,65854.82,13301.9
2_2_4_5,0.0,7379.01,3976.57,1484.68,24265.11,54658.75,59979.15,16.52,11479.37,44993.04,9665.7,1813.66,17.68,84.2,29510.24,25124.56,4385.68
2_2_5_4,24187.55,40.6,14020.87,4342.26,2101.79,173209.89,122825.66,16.8,32616.21,143533.51,29676.38,2939.83,17.13,90.99,79333.07,65871.31,13461.76
2_2_5_5,0.0,8860.06,3521.3,1478.89,25746.16,54197.68,60719.63,15.9,11716.19,44407.12,9790.56,1925.63,18.06,83.56,29561.65,25122.95,4438.7
2_2_6_4,22894.03,25.92,15349.48,4368.11,2087.11,173270.83,121624.28,17.28,32163.11,143883.35,29387.47,2775.64,16.96,91.37,79362.32,66034.41,13327.91
2_2_6_5,0.0,7885.32,3944.42,1504.81,24771.43,54646.72,60020.53,16.39,11486.95,44968.6,9678.12,1808.83,17.71,84.25,29594.09,25207.74,4386.35
2_2_7_4,22177.67,20.44,16195.03,4383.04,2081.63,173414.94,121545.67,17.57,32084.52,144055.44,29359.5,2725.02,16.93,91.51,79427.42,66109.33,13318.08
2_2_7_5,0.0,7402.09,4220.84,1530.91,24288.19,54949.24,60015.99,16.68,11468.48,45232.38,9716.86,1751.62,17.68,84.73,29647.47,25241.93,4405.54
