,drybulb_C,relhum_percent,atmos_Pa,dewpoint_C,glohorrad_Whm2,dayofyear,hour,hourly_clearness,daily_clearness,rise_set,row_number,persisted_index,local_solar_time,zenith,solar_alt,difhorrad_Whm2,dirnorrad_Whm2,totskycvr_tenths,opaqskycvr_tenths,windspd_ms
91,7.5,100.0,99438.59835173815,7.5,0,4,19,0.0,0.24272211720226844,Neither,91,0.0,18.775481513651155,114.03181641949462,-24.031816419494618,0,-0.0,2,2,2.6515503779646905
92,7.5,100.0,99538.59835173815,7.5,0,4,20,0.0,0.24272211720226844,Neither,92,0.0,19.775481513651155,124.14476227130558,-34.14476227130558,0,-0.0,0,0,2.1416368437407116
93,8.1,100.0,99538.59835173815,8.1,0,4,21,0.0,0.24272211720226844,Neither,93,0.0,20.775481513651155,134.14108664870633,-44.141086648706334,0,-0.0,2,2,2.1416368437407116
94,7.0,100.0,99538.59835173815,7.0,0,4,22,0.0,0.24272211720226844,Neither,94,0.0,21.775481513651155,143.4618840930732,-53.461884093073195,0,-0.0,3,3,3.1614639121886694
95,6.5,100.0,99638.59835173815,6.5,0,4,23,0.0,0.24272211720226844,Neither,95,0.0,22.775481513651155,151.0557879140742,-61.05578791407419,0,-0.0,2,2,1.5297406026719367
96,4.9,100.0,99638.59835173815,4.9,0,5,0,0.0,0.4174793698424606,Neither,96,0.0,-0.2317328831254769,155.0172028611546,-65.0172028611546,0,-0.0,0,0,1.5297406026719367
97,6.0,100.0,99638.59835173815,6.0,0,5,1,0.0,0.4174793698424606,Neither,97,0.0,0.7682671168745231,153.55341829571026,-63.55341829571026,0,-0.0,0,0,2.1416368437407116
98,5.4,100.0,99638.59835173815,5.4,0,5,2,0.0,0.4174793698424606,Neither,98,0.0,1.7682671168745232,147.41416301115834,-57.41416301115834,0,-0.0,0,0,2.1416368437407116
99,3.3,100.0,99638.59835173815,3.3,0,5,3,0.0,0.4174793698424606,Neither,99,0.0,2.768267116874523,138.74027672118052,-48.74027672118052,0,-0.0,0,0,2.1416368437407116
100,3.3,100.0,99638.59835173815,3.3,0,5,4,0.0,0.4174793698424606,Neither,100,0.0,3.768267116874523,128.97328661719723,-38.97328661719723,0,-0.0,0,0,2.1416368437407116
101,2.2,100.0,99638.59835173815,2.2,0,5,5,0.0,0.4174793698424606,Neither,101,0.0,4.768267116874523,118.857352065305,-28.857352065304994,0,-0.0,5,5,2.6515503779646905
102,3.9,100.0,99738.59835173815,3.9,0,5,6,0.0,0.4174793698424606,Neither,102,0.0,5.768267116874523,108.82663489736949,-18.826634897369487,0,-0.0,9,9,2.6515503779646905
103,3.9,100.0,99738.59835173815,3.9,0,5,7,0.0,0.4174793698424606,Sunrise,103,0.4,6.768267116874523,99.21098831892665,-9.210988318926653,0,-0.0,3,3,1.5297406026719367
104,2.7,100.0,99738.59835173815,2.7,38,5,8,0.4,0.4174793698424606,Neither,104,0.2784090909090909,7.768267116874523,90.33219379296415,-0.33219379296414786,31,0.0,1,1,2.1416368437407116
105,6.0,100.0,99838.59835173815,6.0,147,5,9,0.5568181818181818,0.4174793698424606,Neither,105,0.34578005115089516,8.768267116874522,82.55307637671186,7.446923623288143,91,432.07308130426986,0,0,2.6515503779646905
106,5.4,100.0,99838.59835173815,5.4,114,5,10,0.2915601023017903,0.4174793698424606,Neither,106,0.4292711598746081,9.768267116874522,76.29484237805502,13.705157621944977,102,50.64881094878737,10,10,3.1614639121886694
107,6.0,100.0,99838.59835173815,6.0,140,5,11,0.3017241379310345,0.4174793698424606,Neither,107,0.2699971701488075,10.768267116874522,72.01020342823367,17.989796571766334,127,42.0919543184666,10,10,2.6515503779646905
108,6.5,100.0,99838.59835173815,6.5,119,5,12,0.24843423799582465,0.4174793698424606,Neither,108,0.4446408708088352,11.768267116874522,70.0941252351382,19.905874764861807,109,29.370649259486026,10,10,3.1614639121886694
109,8.1,100.0,99838.59835173815,8.1,255,5,13,0.5875576036866359,0.4174793698424606,Neither,109,0.4155084102892036,12.768267116874522,70.75203165512026,19.247968344879737,144,336.7134423104182,2,2,3.1614639121886694
110,9.7,97.30491738154609,99838.59835173815,9.3,194,5,14,0.5825825825825826,0.4174793698424606,Neither,110,0.5355370436015597,13.768267116874522,73.91106427599489,16.08893572400511,102,331.97522515500106,0,0,2.6515503779646905
111,9.1,97.30491738154609,99838.59835173815,8.7,88,5,15,0.4835164835164835,0.4174793698424606,Neither,111,0.6662912912912913,14.768267116874522,79.2530993408966,10.746900659103403,55,176.971321154233,0,0,3.1614639121886694
112,7.0,100.0,99938.59835173815,7.0,18,5,16,0.75,0.4174793698424606,Sunset,112,0.4835164835164835,15.768267116874522,86.33865035580882,3.6613496441911764,4,219.23257292709812,0,0,3.1614639121886694
113,6.5,100.0,99938.59835173815,6.5,0,5,17,0.0,0.4174793698424606,Neither,113,0.375,16.768267116874522,94.72381502645884,-4.723815026458837,0,-0.0,0,0,2.6515503779646905
114,5.4,100.0,100038.59835173815,5.4,0,5,18,0.0,0.4174793698424606,Neither,114,0.0,17.768267116874522,104.01662989567441,-14.016629895674413,0,-0.0,0,0,3.1614639121886694
115,5.4,100.0,100138.59835173815,5.4,0,5,19,0.0,0.4174793698424606,Neither,115,0.0,18.768267116874522,113.87875882609625,-23.878758826096245,0,-0.0,0,0,3.1614639121886694
116,6.0,100.0,100138.59835173815,6.0,0,5,20,0.0,0.4174793698424606,Neither,116,0.0,19.768267116874522,123.9916469479019,-33.9916469479019,0,-0.0,0,0,3.1614639121886694
117,6.0,100.0,100138.59835173815,6.0,0,5,21,0.0,0.4174793698424606,Neither,117,0.0,20.768267116874522,133.9874382094877,-43.98743820948769,0,-0.0,0,0,4.181290980636627
118,3.3,100.0,100238.59835173815,3.3,0,5,22,0.0,0.4174793698424606,Neither,118,0.0,21.768267116874522,143.30809381503025,-53.30809381503025,0,-0.0,3,3,4.181290980636627
119,2.7,100.0,100338.59835173815,2.7,0,5,23,0.0,0.4174793698424606,Neither,119,0.0,22.768267116874522,150.9071655787884,-60.90716557878841,0,-0.0,1,1,1.5297406026719367
120,1.2,100.0,100338.59835173815,1.2,0,6,0,0.0,0.4700409378489021,Neither,120,0.0,-0.2388559669367744,154.8922950433971,-64.8922950433971,0,-0.0,0,0,0.0
